PersonID,Name,Birthdate,Last 4 SSN,Total Sales,Gender,Largest Purchase,Favorite Book ID
0,"Daugherty, Misty X",4/15/1985,8903,989.55,Male,370.70,85
1,"Goyette, Catharine H",4/12/1950,0003,217.18,Male,556.93,3
2,"Reichel, Rick F",10/25/1963,6337,164.52,Female,477.07,61
3,"Hoppe, Elmer Y",12/30/1979,7294,31.17,Male,177.54,68
4,"Feest, Vickie O",2/29/1976,1448,661.08,Male,279.79,86
5,"Wolf, Addie J",8/7/1975,2225,335.17,Female,10.04,90
6,"Moore, Lesly J",4/6/1984,0125,253.13,Female,932.07,53
7,"Ledner, Koby I",8/4/1982,4688,149.77,Male,512.02,15
8,"Leffler, Kiel T",10/24/1979,2981,520.14,Male,956.74,61
9,"Hand, Lela Y",3/7/1997,3288,994.37,Male,712.42,42
10,"Muller, Gordon Z",1/19/1966,4921,639.54,Male,738.78,81
11,"Torp, Citlalli A",1/14/1998,4170,300.37,Female,967.29,44
12,"Hansen, Camren K",10/9/1968,4561,622.36,Female,755.16,21
13,"Corwin, Vickie F",11/15/1979,7165,141.04,Female,349.23,98
14,"Rice, Darlene G",2/28/1991,4530,668.06,Male,475.11,16
15,"Denesik, Myron C",2/26/1956,6606,835.31,Male,629.25,11
16,"Sporer, Zetta U",12/12/1963,3914,694.19,Male,290.68,37
17,"Mitchell, Esta V",12/5/1970,8827,309.07,Female,376.06,91
18,"DuBuque, Carley I",9/30/1997,0734,394.73,Female,239.30,87
19,"Shanahan, Giuseppe O",8/26/1999,5808,75.11,Male,914.32,11
20,"Hessel, Bernice N",8/31/1963,5126,564.17,Female,197.65,32
21,"Armstrong, Haley F",4/20/1981,5788,537.96,Female,241.90,79
22,"Carter, Bethany E",1/25/1950,4626,206.32,Male,952.88,48
23,"Schmidt, Raymond E",8/21/1970,3924,126.74,Male,490.32,33
24,"Powlowski, Mohammed Q",2/26/1971,8045,111.10,Female,849.04,64
25,"Thompson, Amy P",2/6/1961,7929,214.74,Female,284.36,80
26,"Stehr, Valentin L",8/5/1981,8678,46.03,Female,582.18,9
27,"Stehr, Nella J",6/23/1978,3604,749.64,Male,227.69,9
28,"Considine, Isabelle D",9/14/1976,1643,220.77,Male,623.45,68
29,"Pacocha, Frida R",7/18/1999,3556,519.73,Female,946.76,44
30,"Gorczany, Carolina T",2/3/1958,8841,72.47,Female,370.69,32
31,"Doyle, Elise H",5/1/1959,3684,339.91,Female,576.81,84
32,"Gaylord, Lysanne D",9/13/1963,0372,383.13,Male,656.96,44
33,"Douglas, Daphne A",11/1/1952,3834,292.90,Male,251.28,24
34,"Johns, Cletus Q",12/7/1972,8823,447.82,Female,218.21,90
35,"Gleichner, Guido G",10/11/1982,8861,149.40,Female,445.00,92
36,"Konopelski, Cassie S",9/4/1950,6342,769.08,Female,552.59,46
37,"Nicolas, Tierra Z",1/18/1970,1228,156.61,Male,287.71,14
38,"Lowe, Diego D",8/6/1998,0878,340.62,Male,914.45,35
39,"Morar, Daija N",6/30/1972,0580,123.55,Male,230.37,96
40,"Zieme, Colton V",3/28/1976,5353,21.05,Male,612.20,11
41,"Parisian, Kody P",6/28/1957,0097,749.89,Female,37.78,7
42,"Watsica, Gerard M",9/23/1977,3641,332.18,Female,92.09,56
43,"Olson, Oren K",12/24/1966,8827,180.43,Female,906.88,90
44,"Murphy, Catalina L",7/11/1999,5378,490.36,Male,895.18,84
45,"Heidenreich, Valentin W",12/8/1969,9670,244.98,Male,898.62,52
46,"Greenholt, Asa K",5/6/1960,0526,188.74,Female,83.25,79
47,"Hintz, Luis U",9/4/1956,9699,738.94,Female,199.09,80
48,"Lubowitz, Nicolette E",3/22/1986,1695,359.91,Male,909.25,72
49,"White, Leo Y",4/24/1952,5359,723.67,Female,368.77,6
50,"Bradtke, Santina M",8/2/1998,5422,923.83,Female,844.29,41
51,"Schimmel, Roxanne O",1/12/1975,8493,150.01,Female,113.47,41
52,"Douglas, Jamarcus W",6/2/1953,9702,453.96,Female,33.62,22
53,"Feest, Mckayla L",3/25/1960,9142,910.06,Male,680.03,23
